sheep weight value
128 99.000000 174977.000000
129 109.000000 168099.000000
130 111.000000 178367.000000
131 113.000000 162687.000000
132 99.000000 167876.000000
133 111.000000 151395.000000
134 103.000000 193670.000000
135 116.000000 188343.000000
136 115.000000 160788.000000
137 97.000000 190515.000000
138 102.000000 191593.000000
139 107.000000 164636.000000
140 89.000000 177969.000000
141 105.000000 190744.000000
142 118.000000 151338.000000
143 92.000000 164836.000000
144 90.000000 170571.000000
145 88.000000 191888.000000
146 98.000000 197668.000000
147 97.000000 175333.000000
148 99.000000 162461.000000
149 99.000000 169508.000000
150 111.000000 191037.000000
151 90.000000 156654.000000
152 107.000000 168116.000000
153 83.000000 191868.000000
154 88.000000 177326.000000
155 110.000000 172586.000000
156 105.000000 157376.000000
157 102.000000 168076.000000
158 107.000000 167506.000000
159 110.000000 187622.000000
160 86.000000 198781.000000
161 101.000000 151450.000000
162 86.000000 167151.000000
163 119.000000 164860.000000
164 92.000000 169863.000000
165 101.000000 155181.000000
166 100.000000 171837.000000
167 117.000000 183477.000000
168 88.000000 157375.000000
169 94.000000 182410.000000
170 98.000000 158477.000000
171 97.000000 188701.000000
172 110.000000 186101.000000
173 100.000000 158831.000000
174 97.000000 165369.000000
175 111.000000 156551.000000
176 93.000000 152965.000000
177 116.000000 199612.000000
178 95.000000 171870.000000
179 95.000000 199485.000000
180 90.000000 152540.000000
181 112.000000 165085.000000
182 100.000000 158474.000000
183 113.000000 181329.000000
184 86.000000 163357.000000
185 89.000000 199410.000000
186 97.000000 184711.000000
187 114.000000 195098.000000
188 88.000000 159022.000000
189 104.000000 179492.000000
190 97.000000 157392.000000
191 85.000000 185703.000000
192 112.000000 150238.000000
193 80.000000 173930.000000
194 87.000000 166948.000000
195 83.000000 157066.000000
196 99.000000 159459.000000
197 85.000000 190421.000000
198 96.000000 188142.000000
199 82.000000 187920.000000
200 89.000000 181703.000000
201 108.000000 175251.000000
202 105.000000 181459.000000
203 119.000000 181434.000000
204 102.000000 199967.000000
205 92.000000 192270.000000
206 86.000000 178973.000000
207 118.000000 169338.000000
208 113.000000 182036.000000
209 102.000000 192868.000000
210 119.000000 159902.000000
211 98.000000 159721.000000
212 106.000000 164770.000000
213 108.000000 156294.000000
214 85.000000 186941.000000
215 110.000000 182260.000000
216 95.000000 170761.000000
217 105.000000 196743.000000
218 89.000000 174161.000000
219 119.000000 171720.000000
220 105.000000 193659.000000
221 99.000000 192084.000000
222 98.000000 170319.000000
223 104.000000 165768.000000
224 117.000000 199801.000000
225 112.000000 172695.000000
226 116.000000 180599.000000
227 85.000000 155427.000000
228 98.000000 197735.000000
229 80.000000 154118.000000
230 95.000000 186068.000000
231 117.000000 194439.000000
232 103.000000 180273.000000
233 101.000000 163013.000000
234 87.000000 181981.000000
235 119.000000 186971.000000
236 109.000000 193591.000000
237 120.000000 171093.000000
238 80.000000 176114.000000
239 113.000000 176424.000000
240 89.000000 193399.000000
241 81.000000 167048.000000
242 83.000000 159602.000000
243 97.000000 169027.000000
244 118.000000 190862.000000
245 91.000000 196028.000000
246 95.000000 174482.000000
247 111.000000 176618.000000
248 107.000000 184801.000000
249 85.000000 185518.000000
250 104.000000 151603.000000
251 100.000000 193222.000000
252 106.000000 161816.000000
253 103.000000 195672.000000
254 92.000000 176774.000000
255 87.000000 167269.000000
256 95.000000 166181.000000
257 104.000000 152161.000000
258 119.000000 175123.000000
259 109.000000 164295.000000
260 103.000000 159974.000000
261 104.000000 194095.000000
262 115.000000 163228.000000
263 119.000000 180187.000000
264 89.000000 171333.000000
265 118.000000 168342.000000
266 118.000000 153904.000000
267 117.000000 167355.000000
268 115.000000 171184.000000
269 98.000000 199000.000000
270 82.000000 167200.000000
271 98.000000 174205.000000
272 87.000000 184952.000000
273 111.000000 172236.000000
274 114.000000 173819.000000
275 101.000000 189358.000000
276 102.000000 170782.000000
277 117.000000 195649.000000
278 88.000000 172697.000000
279 118.000000 151739.000000
280 82.000000 188547.000000
281 84.000000 151997.000000
282 100.000000 185385.000000
283 103.000000 182199.000000
284 91.000000 185107.000000
285 102.000000 173480.000000
286 106.000000 154958.000000
287 96.000000 159175.000000
288 114.000000 199271.000000
289 103.000000 170179.000000
290 85.000000 175045.000000
291 83.000000 177166.000000
292 95.000000 169558.000000
293 87.000000 192690.000000
294 94.000000 153158.000000
295 118.000000 197899.000000
296 85.000000 156426.000000
297 85.000000 199247.000000
298 100.000000 194799.000000
299 115.000000 151592.000000
300 113.000000 195495.000000
301 112.000000 155281.000000
302 118.000000 164899.000000
303 87.000000 190241.000000
304 98.000000 197076.000000
305 90.000000 165197.000000
306 88.000000 159821.000000
307 115.000000 168049.000000
308 110.000000 165587.000000
309 99.000000 168678.000000
310 105.000000 180623.000000
311 106.000000 181647.000000
312 84.000000 159533.000000
313 108.000000 153683.000000
314 98.000000 157162.000000
315 92.000000 161009.000000
316 102.000000 182922.000000
317 89.000000 158231.000000
318 112.000000 194257.000000
319 95.000000 166701.000000
320 89.000000 161710.000000
321 88.000000 173528.000000
322 96.000000 161296.000000
323 114.000000 182838.000000
324 107.000000 178630.000000
325 84.000000 159431.000000
326 107.000000 156270.000000
327 96.000000 196573.000000
328 116.000000 180953.000000
329 83.000000 183907.000000
330 117.000000 150510.000000
331 112.000000 187704.000000
332 84.000000 156868.000000
333 113.000000 167736.000000
334 110.000000 181619.000000
335 114.000000 178577.000000
336 84.000000 166407.000000
337 93.000000 161142.000000
338 83.000000 176149.000000
339 115.000000 176017.000000
340 107.000000 195792.000000
341 95.000000 160361.000000
342 90.000000 196188.000000
343 101.000000 187086.000000
344 108.000000 154148.000000
345 114.000000 151973.000000
346 114.000000 183756.000000
347 116.000000 174904.000000
348 111.000000 158428.000000
349 80.000000 186037.000000
350 84.000000 158797.000000
351 93.000000 170354.000000
352 85.000000 172525.000000
353 107.000000 182741.000000
354 115.000000 171939.000000
355 88.000000 195370.000000
356 102.000000 195865.000000
357 97.000000 154981.000000
358 92.000000 178373.000000
359 117.000000 155174.000000
360 111.000000 188898.000000
361 108.000000 178057.000000
362 86.000000 184904.000000
363 102.000000 167858.000000
364 102.000000 183404.000000
365 84.000000 183993.000000
366 91.000000 178245.000000
367 112.000000 183416.000000
368 89.000000 158748.000000
369 115.000000 160011.000000
370 111.000000 162410.000000
371 99.000000 195232.000000
372 84.000000 190958.000000
373 82.000000 171299.000000
374 98.000000 165186.000000
375 91.000000 175988.000000
376 80.000000 197171.000000
377 106.000000 187050.000000
378 116.000000 187747.000000
379 85.000000 151267.000000
380 94.000000 195439.000000
381 106.000000 164955.000000
382 90.000000 153465.000000
383 111.000000 151563.000000
384 93.000000 183584.000000
385 81.000000 176487.000000
386 86.000000 194989.000000
387 85.000000 151885.000000
388 90.000000 152908.000000
389 92.000000 162477.000000
390 119.000000 150001.000000
391 107.000000 166932.000000
392 102.000000 154376.000000
393 98.000000 153167.000000
394 90.000000 193887.000000
395 98.000000 187051.000000
396 114.000000 171148.000000
397 108.000000 199225.000000
398 96.000000 157363.000000
399 84.000000 199326.000000
400 104.000000 164894.000000
401 118.000000 156998.000000
402 102.000000 156443.000000
403 87.000000 155688.000000
404 80.000000 168184.000000
405 82.000000 182980.000000
406 87.000000 192912.000000
407 115.000000 181132.000000
408 85.000000 176575.000000
409 106.000000 174855.000000
410 80.000000 183914.000000
411 91.000000 166926.000000
412 85.000000 156585.000000
413 115.000000 197645.000000
414 95.000000 163463.000000
415 103.000000 185424.000000
416 81.000000 162338.000000
417 95.000000 178628.000000
418 87.000000 189033.000000
419 93.000000 192610.000000
420 85.000000 151139.000000
421 115.000000 153178.000000
422 109.000000 171830.000000
423 111.000000 166826.000000
424 111.000000 194444.000000
425 112.000000 163441.000000
426 104.000000 197980.000000
427 107.000000 173429.000000
428 110.000000 194925.000000
429 102.000000 161096.000000
430 86.000000 186886.000000
431 113.000000 177472.000000
432 112.000000 172416.000000
433 87.000000 192824.000000
434 96.000000 169813.000000
435 97.000000 157558.000000
436 99.000000 161734.000000
437 109.000000 174138.000000
438 98.000000 173417.000000
439 110.000000 199020.000000
440 119.000000 157286.000000
441 104.000000 174572.000000
442 89.000000 187615.000000
443 96.000000 152426.000000
444 93.000000 185941.000000
445 80.000000 190534.000000
446 99.000000 181309.000000
447 91.000000 176161.000000
448 83.000000 160339.000000
449 109.000000 160299.000000
450 88.000000 166927.000000
451 98.000000 167511.000000
452 91.000000 161190.000000
453 92.000000 157791.000000
454 112.000000 155728.000000
455 80.000000 175129.000000
456 107.000000 186419.000000
457 85.000000 155748.000000
458 119.000000 155391.000000
459 88.000000 190166.000000
460 108.000000 154212.000000
461 111.000000 162961.000000
462 109.000000 178092.000000
463 100.000000 181406.000000
464 81.000000 197746.000000
465 99.000000 166472.000000
466 96.000000 194147.000000
467 85.000000 150456.000000
468 101.000000 151202.000000
469 89.000000 174008.000000
470 105.000000 185652.000000
471 115.000000 152441.000000
472 111.000000 199531.000000
473 119.000000 156623.000000
474 83.000000 157833.000000
475 112.000000 155233.000000
476 96.000000 168844.000000
477 92.000000 180698.000000
478 100.000000 166609.000000
479 107.000000 152132.000000
480 108.000000 182653.000000
481 83.000000 154707.000000
482 120.000000 152445.000000
483 100.000000 186459.000000
484 105.000000 182052.000000
485 81.000000 187726.000000
486 80.000000 151824.000000
487 110.000000 199304.000000
488 114.000000 171083.000000
489 82.000000 181972.000000
490 92.000000 157669.000000
491 81.000000 181152.000000
492 97.000000 164278.000000
493 97.000000 172244.000000
494 110.000000 199857.000000
495 87.000000 172352.000000
496 88.000000 180448.000000
497 109.000000 172547.000000
498 116.000000 188417.000000
499 106.000000 191291.000000
